rat,age,weight,observed
1,8,151,1
1,15,199,1
1,22,246,1
1,29,283,1
1,36,320,1
2,8,145,1
2,15,199,1
2,22,249,1
2,29,293,1
2,36,354,1
3,8,147,1
3,15,214,1
3,22,263,1
3,29,312,1
3,36,328,1
4,8,155,1
4,15,200,1
4,22,237,1
4,29,272,1
4,36,297,1
5,8,135,1
5,15,188,1
5,22,230,1
5,29,280,1
5,36,323,1
6,8,159,1
6,15,210,1
6,22,252,1
6,29,298,1
6,36,331,0
7,8,141,1
7,15,189,1
7,22,231,1
7,29,275,1
7,36,305,0
8,8,159,1
8,15,201,1
8,22,248,1
8,29,297,1
8,36,338,0
9,8,177,1
9,15,236,1
9,22,285,1
9,29,340,1
9,36,376,0
10,8,134,1
10,15,182,1
10,22,220,1
10,29,260,1
10,36,296,0
11,8,160,1
11,15,208,1
11,22,261,1
11,29,313,0
11,36,352,0
12,8,143,1
12,15,188,1
12,22,220,1
12,29,273,0
12,36,314,0
13,8,154,1
13,15,200,1
13,22,244,1
13,29,289,0
13,36,325,0
14,8,171,1
14,15,221,1
14,22,270,1
14,29,326,0
14,36,358,0
15,8,163,1
15,15,216,1
15,22,242,1
15,29,281,0
15,36,312,0
16,8,160,1
16,15,207,1
16,22,248,1
16,29,288,0
16,36,324,0
17,8,142,1
17,15,187,1
17,22,234,1
17,29,280,0
17,36,316,0
18,8,156,1
18,15,203,1
18,22,243,1
18,29,283,0
18,36,317,0
19,8,157,1
19,15,212,1
19,22,259,1
19,29,307,0
19,36,336,0
20,8,152,1
20,15,203,1
20,22,246,1
20,29,286,0
20,36,321,0
21,8,154,1
21,15,205,1
21,22,253,0
21,29,298,0
21,36,334,0
22,8,139,1
22,15,190,1
22,22,225,0
22,29,267,0
22,36,302,0
23,8,146,1
23,15,191,1
23,22,229,0
23,29,272,0
23,36,302,0
24,8,157,1
24,15,211,1
24,22,250,0
24,29,285,0
24,36,323,0
25,8,132,1
25,15,185,1
25,22,237,0
25,29,286,0
25,36,331,0
26,8,160,1
26,15,207,0
26,22,257,0
26,29,303,0
26,36,345,0
27,8,169,1
27,15,216,0
27,22,261,0
27,29,295,0
27,36,333,0
28,8,157,1
28,15,205,0
28,22,248,0
28,29,289,0
28,36,316,0
29,8,137,1
29,15,180,0
29,22,219,0
29,29,258,0
29,36,291,0
30,8,153,1
30,15,200,0
30,22,244,0
30,29,286,0
30,36,324,0
