model,scale,sampling_algorithm,status,error,samples,runs,output_variance_reduction_factor,estimator_variance_reduction_factor,ess_ratio,rmse_reduction_factor,rmse_difference_at_equal_samples,wall_clock_speedup_factor,wall_clock_seconds_saved
branching,4,importance,ok,,1000,10,1.436841087483288,0.8153113671130181,1.0,0.9743501731314992,-0.002759401650902979,1.2827115843617731,0.11256200007628647
branching,4,mcmc,ok,,1000,10,1.479947260188329,3.083709670793032,1.0011725431357148,1.8271363639451312,0.05056706126565392,1.274897398672939,0.1379951873910613
branching,8,importance,ok,,1000,10,1.1080922589942444,0.5387775427473049,1.0,0.7969441666244731,-0.0322261547186411,1.2522519970854855,0.14509317516349252
branching,8,mcmc,ok,,1000,10,1.2041009727372858,2.967162885854565,1.0401751637089596,1.4885977263130177,0.06947530165554333,1.2731976459829146,0.1924575957120397
branching,16,importance,ok,,1000,10,1.1927932666272683,3.2126844863128654,1.0,0.880768243477676,-0.041921353022079444,1.5375124273291814,0.32513934572925796
branching,16,mcmc,ok,,1000,10,1.0420823764844989,1.9622892824434135,0.9797323092449719,1.3524928322504721,0.090169381975445,1.0295464035894897,0.031493879191111906
branching,32,importance,ok,,1000,10,0.9567345070002634,0.605217680057005,1.0,0.8115783717648343,-0.05265651008608882,1.281934992957073,0.19294344589579848
branching,32,mcmc,ok,,1000,10,0.987366416739158,1.2879476360955238,1.0072357775159304,1.2053125135363914,0.05930633825024795,1.2235524375973448,0.1993334166705607
branching,64,importance,ok,,1000,10,1.2114232462578303,0.746203266907559,1.0,0.90863475349841,-0.03088884714060741,1.338975549366091,0.22508596240077172
branching,64,mcmc,ok,,1000,10,0.9513553379347066,0.6392119703334164,1.007171568760268,0.7987409536216098,-0.06821966306851257,1.3544137061565873,0.29010851262137305
hmm,4,importance,ok,,1000,10,5.735512484007931,5.5511567892626825,0.9894132653061225,2.2589648292070876,0.02975418048338075,1.251764265459919,0.25117968348786224
hmm,4,mcmc,ok,,1000,10,5.20099199045132,7.885095757306448,0.9842165996101663,2.266776799367588,0.06801603828303468,1.2499738091008947,0.30488430387340504
hmm,8,importance,ok,,1000,10,4.139190351005088,10.071569762899653,1.004018081366148,3.1857273845983007,0.11922242317615937,1.2592855168728094,0.5272418126114644
hmm,8,mcmc,ok,,1000,10,3.763781429890267,3.2721590834730794,1.0514755691722393,1.4502263724935311,0.04100611886206698,1.2536598846831917,0.6302774582873099
hmm,16,importance,ok,,1000,10,3.678994250561795,1.596740606644114,0.9827434922491958,1.3032813247812391,0.04365338287629433,1.3134405628493993,1.2293390293372792
hmm,16,mcmc,ok,,1000,10,3.5954592049575522,3.7621185422675962,1.042656460892386,1.66694632673335,0.11982384459757003,1.2715557238847963,1.2924864626489576
hmm,32,importance,ok,,1000,10,3.200707324069294,0.7973253300814982,1.0261382799325465,0.8980803217296539,-0.03826909583187643,1.23822084324492,1.9471224581007842
hmm,32,mcmc,ok,,1000,10,3.5594599613074958,2.4655579052584775,1.153137880825956,2.1369199793249654,0.4439243957385282,1.3438922509108968,3.2856253667036075
hmm,64,importance,ok,,1000,10,2.9710550649978407,0.6186900709234935,0.9925373134328358,0.8684888572970081,-0.24545404892808897,1.2363213709412553,3.9147862125886626
hmm,64,mcmc,ok,,1000,10,4.8379595860810864,2.043373921209735,0.9754174434028957,1.67790667528546,1.249256019081226,1.2311989983704674,4.9321496043237865
pcfg,4,importance,ok,,1000,10,7.798267458228865e+31,6.487931570620348e+30,1.077922077922078,2502543842899712.0,0.7028811744186287,1.075113582395098,0.05461829999694601
pcfg,4,mcmc,ok,,1000,10,inf,inf,122.38428174825322,inf,1.3695621242063836,1.2310687620528529,0.20717162492219354
pcfg,8,,error,all samples were rejected; increase --samples,,,,,,,,,
pcfg,16,,error,all samples were rejected; increase --samples,,,,,,,,,
pcfg,32,,error,all samples were rejected; increase --samples,,,,,,,,,
pcfg,64,,error,all samples were rejected; increase --samples,,,,,,,,,
